Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
WBGene00023193	-	I	-	3747	3909	122.220856	467.251068	261.303192
WBGene00022277	-	I	-	4116	10230	0.000000	0.000000	0.000000
WBGene00022276	-	I	+	11495	16837	0.000000	0.000000	0.000000
WBGene00022278	-	I	-	17487	26781	2.311970	8.838675	4.942897
WBGene00235381	-	I	-	22882	23600	16.222530	62.018833	34.683105
WBGene00022279	-	I	-	27591	32544	11.859375	45.338463	25.354858
WBGene00170953	-	I	+	31523	31543	0.000000	0.000000	0.000000
WBGene00173569	-	I	+	32415	32435	0.000000	0.000000	0.000000
WBGene00022275	-	I	+	43733	44677	4.928962	18.843452	10.537919
WBGene00044345	-	I	+	47467	49857	0.320875	1.226707	0.686018
WBGene00021677	-	I	+	49919	54426	0.000000	0.000000	0.000000
WBGene00021678	-	I	-	55293	64066	27.699362	105.894829	59.220104
WBGene00000812	-	I	+	71425	81071	1.368664	5.236433	2.928397
WBGene00021682	-	I	+	91380	92877	0.000000	0.000000	0.000000
WBGene00021683	-	I	+	81193	91020	0.285014	1.110212	0.620870
WBGene00021679	-	I	-	84991	86293	118.057343	451.333954	252.401779
WBGene00021676	-	I	+	93024	94884	62.445419	238.729233	133.505753
WBGene00189949	-	I	-	94828	95367	0.000000	0.000000	0.000000
WBGene00021681	-	I	-	96544	108223	2.683146	10.257684	5.736456
WBGene00004274	-	I	-	108670	110107	3.519320	13.454382	7.524162
WBGene00004418	-	I	+	111038	112295	5.174793	19.783264	11.063496
WBGene00202494	-	I	-	111287	111436	0.000000	0.000000	0.000000
WBGene00023461	-	I	+	111292	111425	0.000000	0.000000	0.000000
WBGene00018774	-	I	+	112285	113721	0.000000	0.000000	0.000000
WBGene00171818	-	I	-	115656	115676	2.142857	8.192156	4.581341
WBGene00018773	-	I	+	113807	114704	17.734289	67.798294	37.915188
WBGene00004962	-	I	+	118109	120870	0.000000	0.000000	0.000000
WBGene00000622	-	I	+	115739	117438	0.000000	0.000000	0.000000
WBGene00003229	-	I	+	127297	134065	0.373085	1.436525	0.803355
WBGene00018772	-	I	+	134337	137282	24.220562	92.595352	51.782570
WBGene00018771	-	I	+	137845	144565	0.121679	0.465180	0.260145
WBGene00000253	-	I	-	146486	154850	0.291742	1.115331	0.623732
WBGene00004225	-	I	-	160172	166819	0.497405	1.914355	1.070575
WBGene00018958	-	I	+	171340	175989	0.356027	1.438135	0.804255
WBGene00018957	-	I	+	178538	182161	0.124118	0.560242	0.313307
WBGene00018955	-	I	-	182079	182772	0.000000	0.000000	0.000000
WBGene00021666	-	I	+	209281	211732	0.000000	0.000000	0.000000
WBGene00000227	-	I	+	183364	208465	2.106085	8.051577	4.502724
WBGene00023295	-	I	+	185335	185409	1.240000	4.740528	2.651069
WBGene00004246	-	I	-	212256	215491	13.639296	52.143112	29.160257
WBGene00021662	-	I	+	216028	216996	28.018759	107.115891	59.902958
WBGene00255594	-	I	+	218060	219099	4.780591	18.276230	10.220708
WBGene00021664	-	I	-	219735	221575	85.335472	326.238037	182.443741
WBGene00021671	-	I	-	231692	238252	133.047668	508.642029	284.450470
WBGene00021672	-	I	-	238616	239021	326.886200	1249.687988	698.869324
WBGene00021668	-	I	+	240491	245414	2.223339	8.499839	4.753408
WBGene00021673	-	I	-	248624	251580	575.739807	2201.056641	1230.908081
WBGene00220069	-	I	-	263502	263618	0.564103	2.156569	1.206029
WBGene00021667	-	I	+	252118	254277	18.654522	71.316353	39.882607
WBGene00021675	-	I	-	254277	259157	0.497594	1.902305	1.063836
WBGene00016903	-	I	+	283500	286115	0.000000	0.000000	0.000000
WBGene00016905	-	I	-	286088	289185	0.375801	1.436689	0.803447
WBGene00016902	-	I	+	291215	305468	0.119463	0.948943	0.530682
WBGene00235385	-	I	-	316637	318258	0.931596	3.561497	1.991714
WBGene00016906	-	I	-	305811	311130	2.363935	9.067972	5.071128
WBGene00002077	-	I	-	310981	314989	12.363882	47.267200	26.433474
WBGene00002079	-	I	-	318390	323352	5.896064	22.540689	12.605544
WBGene00021660	-	I	+	323855	330978	2.667408	10.197516	5.702809
WBGene00000917	-	I	+	332611	337839	1.793478	6.856478	3.834383
WBGene00021661	-	I	-	343069	348424	2.118162	8.308642	4.646484
