Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
WBGene00023193	-	I	-	3747	3909	4.294478	0.379243	0.490526
WBGene00022277	-	I	-	4116	10230	247.362091	21.844404	28.254345
WBGene00022276	-	I	+	11495	16837	813.665039	77.920738	100.785507
WBGene00022278	-	I	-	17487	26781	296.391357	27.520277	35.595722
WBGene00235381	-	I	-	22882	23600	46.149513	4.075437	5.271318
WBGene00022279	-	I	-	27591	32544	205.065720	18.109236	23.423141
WBGene00170953	-	I	+	31523	31543	0.309524	0.027334	0.035355
WBGene00173569	-	I	+	32415	32435	0.000000	0.000000	0.000000
WBGene00018772	-	I	+	134337	137282	6.081764	0.537077	0.694675
WBGene00018771	-	I	+	137845	144565	2.256428	0.199264	0.257735
WBGene00000253	-	I	-	146486	154850	115.220825	10.175084	13.160824
WBGene00022275	-	I	+	43733	44677	3.426230	0.302568	0.391353
WBGene00044345	-	I	+	47467	49857	201.982681	17.836975	23.070990
WBGene00021677	-	I	+	49919	54426	174.332855	19.936152	25.786144
WBGene00021678	-	I	-	55293	64066	49.659676	4.385417	5.672258
WBGene00000812	-	I	+	71425	81071	252.376389	25.779743	33.344456
WBGene00021683	-	I	+	81193	91020	134.045197	12.188407	15.764926
WBGene00021679	-	I	-	84991	86293	34.401615	3.037987	3.929442
WBGene00021682	-	I	+	91380	92877	236.638565	30.583944	39.558384
WBGene00021676	-	I	+	93024	94884	208.016586	18.369825	23.760199
WBGene00189949	-	I	-	94828	95367	102.615463	9.061913	11.721006
WBGene00021681	-	I	-	96544	108223	441.764465	39.071888	50.536999
WBGene00004274	-	I	-	108670	110107	3412.949707	313.504242	405.497742
WBGene00199899	-	I	-	110551	110771	0.452489	0.039959	0.051684
WBGene00199597	-	I	+	110576	110724	0.671141	0.059268	0.076659
WBGene00004418	-	I	+	111038	112295	35632.945312	3237.430420	4187.409668
WBGene00202494	-	I	-	111287	111436	2.715577	0.239811	0.310180
WBGene00023461	-	I	+	111292	111425	5.045503	0.445565	0.576311
WBGene00018774	-	I	+	112285	113721	15.238208	1.615988	2.090178
WBGene00018773	-	I	+	113807	114704	156.198517	13.793801	17.841402
WBGene00171818	-	I	-	115656	115676	3.619048	0.319596	0.413377
WBGene00000622	-	I	+	115739	117438	5.263468	0.569876	0.737098
WBGene00004962	-	I	+	118109	120870	67.641319	5.973366	7.726168
WBGene00003229	-	I	+	127297	134065	1083.410278	100.885735	130.489273
WBGene00004225	-	I	-	160172	166819	190.509460	16.945583	21.918032
WBGene00201018	-	I	-	178232	178291	0.466667	0.041211	0.053304
WBGene00018958	-	I	+	171340	175989	112.641045	10.335672	13.368533
WBGene00018957	-	I	+	178538	182161	114.004967	15.439516	19.970030
WBGene00018955	-	I	-	182079	182772	111.257164	9.825056	12.708084
WBGene00021666	-	I	+	209281	211732	9.171993	0.809973	1.047649
WBGene00000227	-	I	+	183364	208465	94.401604	10.776306	13.938464
WBGene00023295	-	I	+	185335	185409	0.273333	0.024138	0.031221
WBGene00220069	-	I	-	263502	263618	0.803419	0.070949	0.091769
WBGene00004246	-	I	-	212256	215491	432.127441	38.160923	49.358727
WBGene00021662	-	I	+	216028	216996	53.238079	4.701424	6.080993
WBGene00255594	-	I	+	218060	219099	15.879923	1.402347	1.813846
WBGene00021664	-	I	-	219735	221575	120.818024	10.669370	13.800150
WBGene00021671	-	I	-	231692	238252	10.566370	0.933110	1.206918
WBGene00021672	-	I	-	238616	239021	0.000000	0.000000	0.000000
WBGene00021668	-	I	+	240491	245414	0.162716	0.014369	0.018586
WBGene00021673	-	I	-	248624	251580	25.929434	2.289813	2.961728
WBGene00021667	-	I	+	252118	254277	66.061272	5.833833	7.545691
WBGene00021675	-	I	-	254277	259157	194.891220	17.210732	22.260984
WBGene00016904	-	I	+	280120	280445	10.914413	0.963846	1.246673
WBGene00016903	-	I	+	283500	286115	26.885838	2.374273	3.070971
WBGene00016905	-	I	-	286088	289185	63.510109	9.264739	11.983349
WBGene00016902	-	I	+	291215	305468	54.881966	10.456573	13.524910
WBGene00016906	-	I	-	305811	311130	114.262131	10.940893	14.151348
WBGene00002077	-	I	-	310981	314989	2338.949707	206.551270	267.160919
WBGene00235385	-	I	-	316637	318258	31.951767	2.821642	3.649614
WBGene00002079	-	I	-	318390	323352	655.482178	98.709724	127.674736
WBGene00021660	-	I	+	323855	330978	300.790863	26.562668	34.357117
WBGene00000917	-	I	+	332611	337839	204.701080	18.077034	23.381493
WBGene00021661	-	I	-	343069	348424	102.615669	9.393785	12.150263
WBGene00021658	-	I	+	347469	348357	184.879639	16.326614	21.117434
WBGene00021657	-	I	+	348460	357193	77.811050	6.871449	8.887781
WBGene00020087	-	I	-	357240	363901	63.362255	5.595484	7.237402
WBGene00020091	-	I	+	364510	368319	601.232239	84.527847	109.331383
WBGene00020088	-	I	-	368370	373445	174.155167	15.379542	19.892458
WBGene00020089	-	I	-	373571	379073	573.264832	50.624687	65.479805
WBGene00004143	-	I	-	379071	381902	3021.841309	266.857056	345.162628
WBGene00006385	-	I	+	382648	388564	209.726425	18.520819	23.955500
WBGene00020090	-	I	-	388470	394415	39.769104	3.574333	4.623172
WBGene00021733	-	I	+	398891	412915	236.230347	25.353159	32.792694
WBGene00021734	-	I	-	412911	418660	2.288288	0.202077	0.261374
WBGene00015570	-	I	+	420922	423713	6.061108	0.535253	0.692316
WBGene00006593	-	I	+	443999	461605	176.760040	15.609577	20.189995
WBGene00200577	-	I	-	530395	530683	0.110727	0.009778	0.012648
WBGene00021026	-	I	+	461995	462651	944.417175	83.400932	107.873795
WBGene00021027	-	I	-	462657	467131	6.426126	0.567487	0.734009
WBGene00166632	-	I	+	463304	463324	0.000000	0.000000	0.000000
WBGene00235387	-	I	+	471135	473890	4.572711	0.403813	0.522307
WBGene00021025	-	I	+	477582	481954	0.692409	0.061146	0.079089
WBGene00235388	-	I	-	482040	483880	1.642671	0.145063	0.187630
WBGene00021028	-	I	-	484126	487990	8.231158	0.726889	0.940184
WBGene00021024	-	I	+	488607	489905	1157.123779	102.184937	132.169708
WBGene00001814	-	I	+	489969	496150	455.343353	40.375950	52.223713
WBGene00022035	-	I	-	496144	502042	103.757187	11.535134	14.919961
WBGene00022036	-	I	-	502932	506250	223.342072	19.723209	25.510714
WBGene00022034	-	I	+	506469	509056	832.533936	73.668922	95.286049
WBGene00022039	-	I	-	508850	511051	51.784191	6.289371	8.134901
WBGene00022037	-	I	-	511052	519800	1238.091431	118.482765	153.249893
