Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
WBGene00023193	-	I	-	3747	3909	4.625767	0.391300	0.503377
WBGene00022277	-	I	-	4116	10230	237.232040	20.067808	25.815638
WBGene00022276	-	I	+	11495	16837	811.652710	75.329170	96.904976
WBGene00022278	-	I	-	17487	26781	333.596283	29.888479	38.449146
WBGene00235381	-	I	-	22882	23600	45.848400	3.878384	4.989232
WBGene00022279	-	I	-	27591	32544	198.169601	16.763460	21.564854
WBGene00170953	-	I	+	31523	31543	3.000000	0.253774	0.326461
WBGene00173569	-	I	+	32415	32435	0.000000	0.000000	0.000000
WBGene00022275	-	I	+	43733	44677	1.851378	0.156611	0.201467
WBGene00044345	-	I	+	47467	49857	194.839569	16.481768	21.202478
WBGene00021677	-	I	+	49919	54426	192.515259	21.085495	27.124811
WBGene00021678	-	I	-	55293	64066	17.725128	1.499395	1.928852
WBGene00000812	-	I	+	71425	81071	219.623123	21.080521	27.118412
WBGene00021683	-	I	+	81193	91020	140.370468	12.197659	15.691317
WBGene00021679	-	I	-	84991	86293	29.873312	2.527028	3.250820
WBGene00021682	-	I	+	91380	92877	256.589478	31.753233	40.848003
WBGene00021676	-	I	+	93024	94884	212.575851	17.982103	23.132545
WBGene00189949	-	I	-	94828	95367	147.242264	12.455441	16.022930
WBGene00021681	-	I	-	96544	108223	482.096466	40.822865	52.515366
WBGene00199899	-	I	-	110551	110771	0.452489	0.038277	0.049240
WBGene00199597	-	I	+	110576	110724	0.671141	0.056773	0.073034
WBGene00004274	-	I	-	108670	110107	3769.499512	331.676880	426.675903
WBGene00018773	-	I	+	113807	114704	142.420105	12.047526	15.498184
WBGene00171818	-	I	-	115656	115676	1.238095	0.104732	0.134730
WBGene00000622	-	I	+	115739	117438	4.506366	0.460107	0.591891
WBGene00004418	-	I	+	111038	112295	37750.937500	3285.464844	4226.488770
WBGene00202494	-	I	-	111287	111436	4.806667	0.406603	0.523062
WBGene00023461	-	I	+	111292	111425	0.000000	0.000000	0.000000
WBGene00018774	-	I	+	112285	113721	14.021752	1.366972	1.758500
WBGene00004962	-	I	+	118109	120870	64.680969	5.471458	7.038595
WBGene00003229	-	I	+	127297	134065	1354.176147	120.877647	155.499466
WBGene00018772	-	I	+	134337	137282	5.192990	0.439283	0.565102
WBGene00018771	-	I	+	137845	144565	9.067227	0.767010	0.986697
WBGene00000253	-	I	-	146486	154850	132.584412	11.215511	14.427861
